12/2/2020 5:30:13 PM	00:50:7F:CE:1A:50	"DrayTek Corp."	""	-74	55		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:A6:CA:44:70:72	"Cisco Systems Inc."	"tudelft-dastud"	-73	55		"Ch 11 [2.462 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:C7:EF:50	"Cisco Systems Inc."	"eduroam"	-59	55		"Ch 6 [2.437 GHz]"	"3 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:34:E5:E6	"Cisco Systems Inc."	"Guest Centre"	-75	65		"Ch 1 [2.412 GHz]"	"2 Stations, A-08-0-194, 2 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:B9:2A:90	"Cisco Systems Inc."	"eduroam"	-69	65		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:34:E5:E2	"Cisco Systems Inc."	"tudelft-dastud"	-70	65		"Ch 1 [2.412 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:C7:EF:52	"Cisco Systems Inc."	"tudelft-dastud"	-57	65		"Ch 6 [2.437 GHz]"	"3 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:34:E5:E1	"Cisco Systems Inc."	"TUvisitor"	-70	75		"Ch 1 [2.412 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:B9:2A:95	"Cisco Systems Inc."	"Delft Free Wifi"	-68	75		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	84:3D:C6:B9:2A:96	"Cisco Systems Inc."	"Guest Centre"	-68	75		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-017, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:13 PM	00:3A:7D:34:7B:45	"Cisco Systems Inc."	"Delft Free Wifi"	-67	85		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
